jahr	bundesland	tote100k	baseline	excess
2021	Baden-Württemberg	2044.007960160293	1875.8818978643085	0.08962507846970325
2021	Bayern	2146.9115969912814	1945.689389072031	0.10341949185179056
2021	Berlin	1931.5388479577696	1821.16499128814	0.060606181865795916
2021	Brandenburg	2029.9729950228775	1910.3960209633656	0.06259276754524024
2021	Bremen	1888.108661549718	1915.3008539796715	-0.014197347833606822
2021	Hamburg	1868.4512598180606	1886.0101993226592	-0.009310097851488175
2021	Hessen	2024.7996873663237	1930.8698802913166	0.04864636816481682
2021	Mecklenburg-Vorpomme	2263.37829888057	1929.4080864152218	0.17309464742933378
2021	Niedersachsen	2084.837016942755	1983.924633625735	0.05086502864405529
2021	Nordrhein-Westfalen	2079.24425982714	1959.0947577384702	0.06132909172161094
2021	Rheinland-Pfalz	2152.327600471254	1984.3326772162761	0.08466066460723187
2021	Saarland	2239.7451520199847	2089.328562368092	0.07199278866958436
2021	Sachsen	2024.874138865265	1880.9272210597078	0.076529764785082
2021	Sachsen-Anhalt	2030.5567261893925	2029.362327685574	0.0005885585277325411
2021	Schleswig-Holstein	2093.550795385559	2012.713373273594	0.040163404876913056
2021	Thüringen	2219.9289310311688	2005.3308895917905	0.10701378139298612
