Jahr,Altersgruppe,Bundesland,Einwohner
2005,85,Thüringen,7072
2005,85,Baden-Württemberg,19197
2005,85,Bayern,23288
2005,85,Berlin,5788
2005,85,Brandenburg,3560
2005,85,Bremen,1576
2005,85,Hamburg,3581
2005,85,Hessen,11217
2005,85,Mecklenburg-Vorpommern,2226
2005,85,Niedersachsen,15059
2005,85,Nordrhein-Westfalen,32800
2005,85,Rheinland-Pfalz,7658
2005,85,Saarland,2144
2005,85,Sachsen,8051
2005,85,Sachsen-Anhalt,4214
2005,85,Schleswig-Holstein,5625
2005,85,Thüringen,3569
2005,85,Baden-Württemberg,15756
2005,85,Bayern,19948
2005,85,Berlin,4845
2005,85,Brandenburg,3047
2005,85,Bremen,1295
2005,85,Hamburg,2972
2005,85,Hessen,9614
2005,85,Mecklenburg-Vorpommern,1965
2005,85,Niedersachsen,13087
2005,85,Nordrhein-Westfalen,27743
2005,85,Rheinland-Pfalz,6431
2005,85,Saarland,1808
2005,85,Sachsen,6449
2005,85,Sachsen-Anhalt,3556
2005,85,Schleswig-Holstein,4936
2005,85,Thüringen,3035
2005,85,Baden-Württemberg,15283
2005,85,Bayern,18561
2005,85,Berlin,4963
2005,85,Brandenburg,2990
2005,85,Bremen,1268
2005,85,Hamburg,3010
2005,85,Hessen,8926
2005,85,Mecklenburg-Vorpommern,1894
2005,85,Niedersachsen,12697
2005,85,Nordrhein-Westfalen,27237
2005,85,Rheinland-Pfalz,6169
2005,85,Saarland,1673
2005,85,Sachsen,6434
2005,85,Sachsen-Anhalt,3271
2005,85,Schleswig-Holstein,4717
2005,85,Thüringen,2860
2005,85,Baden-Württemberg,17119
2005,85,Bayern,19892
2005,85,Berlin,5605
2005,85,Brandenburg,3436
2005,85,Bremen,1409
2005,85,Hamburg,3470
2005,85,Hessen,10020
2005,85,Mecklenburg-Vorpommern,2083
2005,85,Niedersachsen,13884
2005,85,Nordrhein-Westfalen,29017
2005,85,Rheinland-Pfalz,6708
2005,85,Saarland,1566
2005,85,Sachsen,7975
2005,85,Sachsen-Anhalt,3661
2005,85,Schleswig-Holstein,5297
2005,85,Thüringen,3415
2005,85,Baden-Württemberg,80414
2005,85,Bayern,86475
2005,85,Berlin,30518
2005,85,Brandenburg,16735
2005,85,Bremen,6377
2005,85,Hamburg,15853
2005,85,Hessen,47580
2005,85,Mecklenburg-Vorpommern,9652
2005,85,Niedersachsen,64561
2005,85,Nordrhein-Westfalen,130822
2005,85,Rheinland-Pfalz,32624
2005,85,Saarland,7465
2005,85,Sachsen,36247
2005,85,Sachsen-Anhalt,16994
2005,85,Schleswig-Holstein,24360
2005,85,Thüringen,15001
2005,,Baden-Württemberg,10717419
2005,,Bayern,12443893
2005,,Berlin,3387828
2005,,Brandenburg,2567704
2005,,Bremen,663213
2005,,Hamburg,1734830
2005,,Hessen,6097765
2005,,Mecklenburg-Vorpommern,1719653
2005,,Niedersachsen,8000909
2005,,Nordrhein-Westfalen,18075352
2005,,Rheinland-Pfalz,4061105
2005,,Saarland,1056417
2005,,Sachsen,4296284
2005,,Sachsen-Anhalt,2494437
2005,,Schleswig-Holstein,2828760
2005,,Thüringen,2355280
2006,0-65,Baden-Württemberg,94424
2006,0-65,Bayern,108163
2006,0-65,Berlin,28800
2006,0-65,Brandenburg,18082
2006,0-65,Bremen,5411
2006,0-65,Hamburg,15812
2006,0-65,Hessen,53197
2006,0-65,Mecklenburg-Vorpommern,12344
2006,0-65,Niedersachsen,67017
2006,0-65,Nordrhein-Westfalen,153110
2006,0-65,Rheinland-Pfalz,32653
2006,0-65,Saarland,7483
2006,0-65,Sachsen,32561
2006,0-65,Sachsen-Anhalt,17162
2006,0-65,Schleswig-Holstein,23141
2006,0-65,Thüringen,16627
2006,0-65,Baden-Württemberg,97531
2006,0-65,Bayern,111545
2006,0-65,Berlin,29063
2006,0-65,Brandenburg,18613
2006,0-65,Bremen,5339
2006,0-65,Hamburg,15626
2006,0-65,Hessen,54391
2006,0-65,Mecklenburg-Vorpommern,13074
2006,0-65,Niedersachsen,70836
2006,0-65,Nordrhein-Westfalen,158082
2006,0-65,Rheinland-Pfalz,33935
2006,0-65,Saarland,7674
2006,0-65,Sachsen,33177
2006,0-65,Sachsen-Anhalt,17305
2006,0-65,Schleswig-Holstein,24546
2006,0-65,Thüringen,17276
2006,0-65,Baden-Württemberg,98547
2006,0-65,Bayern,113046
2006,0-65,Berlin,27734
2006,0-65,Brandenburg,18891
2006,0-65,Bremen,5375
2006,0-65,Hamburg,15101
2006,0-65,Hessen,54145
2006,0-65,Mecklenburg-Vorpommern,12840
2006,0-65,Niedersachsen,71548
2006,0-65,Nordrhein-Westfalen,160155
2006,0-65,Rheinland-Pfalz,34746
2006,0-65,Saarland,7635
2006,0-65,Sachsen,32173
2006,0-65,Sachsen-Anhalt,16791
2006,0-65,Schleswig-Holstein,24959
2006,0-65,Thüringen,16908
2006,0-65,Baden-Württemberg,100761
2006,0-65,Bayern,115245
2006,0-65,Berlin,27523
2006,0-65,Brandenburg,18762
2006,0-65,Bremen,5311
2006,0-65,Hamburg,14941
2006,0-65,Hessen,55195
2006,0-65,Mecklenburg-Vorpommern,12504
2006,0-65,Niedersachsen,74510
2006,0-65,Nordrhein-Westfalen,164204
2006,0-65,Rheinland-Pfalz,35637
2006,0-65,Saarland,8008
2006,0-65,Sachsen,31650
2006,0-65,Sachsen-Anhalt,17500
2006,0-65,Schleswig-Holstein,25808
2006,0-65,Thüringen,16953
2006,0-65,Baden-Württemberg,103275
2006,0-65,Bayern,117858
2006,0-65,Berlin,27156
2006,0-65,Brandenburg,18852
2006,0-65,Bremen,5547
2006,0-65,Hamburg,14780
2006,0-65,Hessen,56461
2006,0-65,Mecklenburg-Vorpommern,12803
2006,0-65,Niedersachsen,77527
2006,0-65,Nordrhein-Westfalen,168983
2006,0-65,Rheinland-Pfalz,36996
2006,0-65,Saarland,8281
2006,0-65,Sachsen,31703
2006,0-65,Sachsen-Anhalt,17598
2006,0-65,Schleswig-Holstein,26717
2006,0-65,Thüringen,17215
2006,0-65,Baden-Württemberg,108492
2006,0-65,Bayern,123446
2006,0-65,Berlin,27766
2006,0-65,Brandenburg,19775
2006,0-65,Bremen,5800
2006,0-65,Hamburg,14845
2006,0-65,Hessen,59097
2006,0-65,Mecklenburg-Vorpommern,12998
2006,0-65,Niedersachsen,81681
2006,0-65,Nordrhein-Westfalen,177065
2006,0-65,Rheinland-Pfalz,39199
2006,0-65,Saarland,8767
2006,0-65,Sachsen,32630
2006,0-65,Sachsen-Anhalt,18081
2006,0-65,Schleswig-Holstein,28397
2006,0-65,Thüringen,17248
2006,0-65,Baden-Württemberg,110529
2006,0-65,Bayern,125218
2006,0-65,Berlin,27079
2006,0-65,Brandenburg,19608
2006,0-65,Bremen,5727
2006,0-65,Hamburg,14787
2006,0-65,Hessen,58817
2006,0-65,Mecklenburg-Vorpommern,12340
2006,0-65,Niedersachsen,82646
2006,0-65,Nordrhein-Westfalen,178600
2006,0-65,Rheinland-Pfalz,39493
2006,0-65,Saarland,9070
2006,0-65,Sachsen,30720
2006,0-65,Sachsen-Anhalt,17324
2006,0-65,Schleswig-Holstein,28984
2006,0-65,Thüringen,16531
2006,0-65,Baden-Württemberg,113430
2006,0-65,Bayern,128839
2006,0-65,Berlin,26558
2006,0-65,Brandenburg,19057
2006,0-65,Bremen,5870
2006,0-65,Hamburg,14930
2006,0-65,Hessen,60605
2006,0-65,Mecklenburg-Vorpommern,12029
2006,0-65,Niedersachsen,85608
2006,0-65,Nordrhein-Westfalen,184305
2006,0-65,Rheinland-Pfalz,41111
2006,0-65,Saarland,9217
2006,0-65,Sachsen,29341
2006,0-65,Sachsen-Anhalt,16640
2006,0-65,Schleswig-Holstein,29500
2006,0-65,Thüringen,16385
2006,0-65,Baden-Württemberg,118012
2006,0-65,Bayern,132327
2006,0-65,Berlin,26813
2006,0-65,Brandenburg,18688
2006,0-65,Bremen,6039
2006,0-65,Hamburg,15279
2006,0-65,Hessen,62558
2006,0-65,Mecklenburg-Vorpommern,12010
2006,0-65,Niedersachsen,89245
2006,0-65,Nordrhein-Westfalen,192550
2006,0-65,Rheinland-Pfalz,43028
2006,0-65,Saarland,10023
2006,0-65,Sachsen,28335
2006,0-65,Sachsen-Anhalt,16355
2006,0-65,Schleswig-Holstein,30846
2006,0-65,Thüringen,16324
2006,0-65,Baden-Württemberg,116235
2006,0-65,Bayern,131161
2006,0-65,Berlin,26111
2006,0-65,Brandenburg,17659
2006,0-65,Bremen,5980
2006,0-65,Hamburg,15148
2006,0-65,Hessen,61878
2006,0-65,Mecklenburg-Vorpommern,11215
2006,0-65,Niedersachsen,87473
2006,0-65,Nordrhein-Westfalen,190667
2006,0-65,Rheinland-Pfalz,42452
2006,0-65,Saarland,10133
2006,0-65,Sachsen,26669
2006,0-65,Sachsen-Anhalt,15514
2006,0-65,Schleswig-Holstein,30648
2006,0-65,Thüringen,14960
2006,0-65,Baden-Württemberg,114392
2006,0-65,Bayern,128644
2006,0-65,Berlin,25122
2006,0-65,Brandenburg,16158
2006,0-65,Bremen,5929
2006,0-65,Hamburg,14348
2006,0-65,Hessen,59900
2006,0-65,Mecklenburg-Vorpommern,10090
2006,0-65,Niedersachsen,85354
2006,0-65,Nordrhein-Westfalen,186426
2006,0-65,Rheinland-Pfalz,41679
2006,0-65,Saarland,9857
2006,0-65,Sachsen,23938
2006,0-65,Sachsen-Anhalt,14211
2006,0-65,Schleswig-Holstein,29438
2006,0-65,Thüringen,13757
2006,0-65,Baden-Württemberg,115674
2006,0-65,Bayern,131303
2006,0-65,Berlin,25152
2006,0-65,Brandenburg,15445
2006,0-65,Bremen,5813
2006,0-65,Hamburg,14688
2006,0-65,Hessen,60951
2006,0-65,Mecklenburg-Vorpommern,9415
2006,0-65,Niedersachsen,87166
2006,0-65,Nordrhein-Westfalen,190904
2006,0-65,Rheinland-Pfalz,42888
2006,0-65,Saarland,10270
2006,0-65,Sachsen,23098
2006,0-65,Sachsen-Anhalt,13943
2006,0-65,Schleswig-Holstein,29874
2006,0-65,Thüringen,12770
2006,0-65,Baden-Württemberg,119999
2006,0-65,Bayern,138103
2006,0-65,Berlin,25397
2006,0-65,Brandenburg,15348
2006,0-65,Bremen,5974
2006,0-65,Hamburg,14643
2006,0-65,Hessen,62712
2006,0-65,Mecklenburg-Vorpommern,9962
2006,0-65,Niedersachsen,91058
2006,0-65,Nordrhein-Westfalen,199881
2006,0-65,Rheinland-Pfalz,45198
2006,0-65,Saarland,10883
2006,0-65,Sachsen,23794
2006,0-65,Sachsen-Anhalt,14358
2006,0-65,Schleswig-Holstein,31153
2006,0-65,Thüringen,13449
2006,0-65,Baden-Württemberg,121528
2006,0-65,Bayern,139696
2006,0-65,Berlin,26675
2006,0-65,Brandenburg,16766
2006,0-65,Bremen,6176
2006,0-65,Hamburg,15112
2006,0-65,Hessen,63570
2006,0-65,Mecklenburg-Vorpommern,11261
2006,0-65,Niedersachsen,91989
2006,0-65,Nordrhein-Westfalen,204848
2006,0-65,Rheinland-Pfalz,46264
2006,0-65,Saarland,11298
2006,0-65,Sachsen,25525
2006,0-65,Sachsen-Anhalt,15991
2006,0-65,Schleswig-Holstein,31705
2006,0-65,Thüringen,14773
2006,0-65,Baden-Württemberg,124304
2006,0-65,Bayern,142069
2006,0-65,Berlin,27718
2006,0-65,Brandenburg,20460
2006,0-65,Bremen,6360
2006,0-65,Hamburg,15684
2006,0-65,Hessen,64792
2006,0-65,Mecklenburg-Vorpommern,13576
2006,0-65,Niedersachsen,93323
2006,0-65,Nordrhein-Westfalen,209666
2006,0-65,Rheinland-Pfalz,47411
2006,0-65,Saarland,11651
2006,0-65,Sachsen,30991
2006,0-65,Sachsen-Anhalt,18893
2006,0-65,Schleswig-Holstein,32472
2006,0-65,Thüringen,17438
2006,0-65,Baden-Württemberg,128657
2006,0-65,Bayern,147333
2006,0-65,Berlin,33685
2006,0-65,Brandenburg,31945
2006,0-65,Bremen,6504
2006,0-65,Hamburg,16206
2006,0-65,Hessen,67398
2006,0-65,Mecklenburg-Vorpommern,21926
2006,0-65,Niedersachsen,96175
2006,0-65,Nordrhein-Westfalen,215596
2006,0-65,Rheinland-Pfalz,49170
2006,0-65,Saarland,12160
2006,0-65,Sachsen,47920
2006,0-65,Sachsen-Anhalt,29782
2006,0-65,Schleswig-Holstein,33429
2006,0-65,Thüringen,27482
2006,0-65,Baden-Württemberg,125005
2006,0-65,Bayern,142471
2006,0-65,Berlin,34857
2006,0-65,Brandenburg,34782
2006,0-65,Bremen,6585
2006,0-65,Hamburg,15843
2006,0-65,Hessen,66181
2006,0-65,Mecklenburg-Vorpommern,23929
2006,0-65,Niedersachsen,93083
2006,0-65,Nordrhein-Westfalen,209795
2006,0-65,Rheinland-Pfalz,47919
2006,0-65,Saarland,11772
2006,0-65,Sachsen,51480
2006,0-65,Sachsen-Anhalt,31675
2006,0-65,Schleswig-Holstein,32332
2006,0-65,Thüringen,29122
2006,0-65,Baden-Württemberg,128351
2006,0-65,Bayern,144519
2006,0-65,Berlin,36382
2006,0-65,Brandenburg,37059
2006,0-65,Bremen,6853
2006,0-65,Hamburg,16740
2006,0-65,Hessen,67057
2006,0-65,Mecklenburg-Vorpommern,25453
2006,0-65,Niedersachsen,94790
2006,0-65,Nordrhein-Westfalen,213917
2006,0-65,Rheinland-Pfalz,49181
2006,0-65,Saarland,11983
2006,0-65,Sachsen,54614
2006,0-65,Sachsen-Anhalt,33941
2006,0-65,Schleswig-Holstein,32739
2006,0-65,Thüringen,31754
2006,0-65,Baden-Württemberg,123681
2006,0-65,Bayern,138785
2006,0-65,Berlin,36851
2006,0-65,Brandenburg,37771
2006,0-65,Bremen,7047
2006,0-65,Hamburg,16203
2006,0-65,Hessen,65180
2006,0-65,Mecklenburg-Vorpommern,26939
2006,0-65,Niedersachsen,91824
2006,0-65,Nordrhein-Westfalen,208942
2006,0-65,Rheinland-Pfalz,47599
2006,0-65,Saarland,11862
2006,0-65,Sachsen,56638
2006,0-65,Sachsen-Anhalt,34910
2006,0-65,Schleswig-Holstein,31261
2006,0-65,Thüringen,32520
2006,0-65,Baden-Württemberg,125145
2006,0-65,Bayern,140647
2006,0-65,Berlin,37519
2006,0-65,Brandenburg,36065
2006,0-65,Bremen,7285
2006,0-65,Hamburg,17139
2006,0-65,Hessen,64791
2006,0-65,Mecklenburg-Vorpommern,25590
2006,0-65,Niedersachsen,90261
2006,0-65,Nordrhein-Westfalen,206131
2006,0-65,Rheinland-Pfalz,46747
2006,0-65,Saarland,11937
2006,0-65,Sachsen,55262
2006,0-65,Sachsen-Anhalt,33832
2006,0-65,Schleswig-Holstein,30329
2006,0-65,Thüringen,31564
2006,0-65,Baden-Württemberg,122249
2006,0-65,Bayern,137739
2006,0-65,Berlin,39248
2006,0-65,Brandenburg,34979
2006,0-65,Bremen,7696
2006,0-65,Hamburg,18692
2006,0-65,Hessen,63725
2006,0-65,Mecklenburg-Vorpommern,25154
2006,0-65,Niedersachsen,86683
2006,0-65,Nordrhein-Westfalen,198181
2006,0-65,Rheinland-Pfalz,44711
2006,0-65,Saarland,11352
2006,0-65,Sachsen,55916
2006,0-65,Sachsen-Anhalt,33068
2006,0-65,Schleswig-Holstein,28816
2006,0-65,Thüringen,31451
2006,0-65,Baden-Württemberg,124145
2006,0-65,Bayern,140784
2006,0-65,Berlin,41530
2006,0-65,Brandenburg,32792
2006,0-65,Bremen,8044
2006,0-65,Hamburg,20104
2006,0-65,Hessen,65666
2006,0-65,Mecklenburg-Vorpommern,24004
2006,0-65,Niedersachsen,85687
2006,0-65,Nordrhein-Westfalen,199196
2006,0-65,Rheinland-Pfalz,45403
2006,0-65,Saarland,11412
2006,0-65,Sachsen,55920
2006,0-65,Sachsen-Anhalt,32497
2006,0-65,Schleswig-Holstein,28552
2006,0-65,Thüringen,31486
2006,0-65,Baden-Württemberg,125975
2006,0-65,Bayern,144147
2006,0-65,Berlin,44223
2006,0-65,Brandenburg,32003
2006,0-65,Bremen,8714
2006,0-65,Hamburg,21832
2006,0-65,Hessen,66809
2006,0-65,Mecklenburg-Vorpommern,23847
2006,0-65,Niedersachsen,87145
2006,0-65,Nordrhein-Westfalen,203342
2006,0-65,Rheinland-Pfalz,45788
2006,0-65,Saarland,11559
2006,0-65,Sachsen,56345
2006,0-65,Sachsen-Anhalt,32474
2006,0-65,Schleswig-Holstein,28916
2006,0-65,Thüringen,31386
2006,0-65,Baden-Württemberg,131347
2006,0-65,Bayern,149742
2006,0-65,Berlin,47921
2006,0-65,Brandenburg,31731
2006,0-65,Bremen,9166
2006,0-65,Hamburg,24073
2006,0-65,Hessen,70484
2006,0-65,Mecklenburg-Vorpommern,23349
2006,0-65,Niedersachsen,89888
2006,0-65,Nordrhein-Westfalen,210475
2006,0-65,Rheinland-Pfalz,47697
2006,0-65,Saarland,12125
2006,0-65,Sachsen,57274
2006,0-65,Sachsen-Anhalt,31599
2006,0-65,Schleswig-Holstein,29856
2006,0-65,Thüringen,32289
2006,0-65,Baden-Württemberg,132772
2006,0-65,Bayern,152320
2006,0-65,Berlin,50359
2006,0-65,Brandenburg,30048
2006,0-65,Bremen,9129
2006,0-65,Hamburg,25635
2006,0-65,Hessen,71545
2006,0-65,Mecklenburg-Vorpommern,22053
2006,0-65,Niedersachsen,90812
2006,0-65,Nordrhein-Westfalen,211231
2006,0-65,Rheinland-Pfalz,47692
2006,0-65,Saarland,12095
2006,0-65,Sachsen,55785
2006,0-65,Sachsen-Anhalt,30666
2006,0-65,Schleswig-Holstein,30303
2006,0-65,Thüringen,30960
2006,0-65,Baden-Württemberg,135267
2006,0-65,Bayern,153430
2006,0-65,Berlin,52583
2006,0-65,Brandenburg,30310
2006,0-65,Bremen,9188
2006,0-65,Hamburg,26824
2006,0-65,Hessen,73068
2006,0-65,Mecklenburg-Vorpommern,22475
2006,0-65,Niedersachsen,91111
2006,0-65,Nordrhein-Westfalen,214617
2006,0-65,Rheinland-Pfalz,47163
2006,0-65,Saarland,12077
2006,0-65,Sachsen,56503
2006,0-65,Sachsen-Anhalt,30497
2006,0-65,Schleswig-Holstein,30541
2006,0-65,Thüringen,31192
2006,0-65,Baden-Württemberg,127906
2006,0-65,Bayern,147760
2006,0-65,Berlin,51094
2006,0-65,Brandenburg,28964
2006,0-65,Bremen,8680
2006,0-65,Hamburg,26419
2006,0-65,Hessen,70864
2006,0-65,Mecklenburg-Vorpommern,21175
2006,0-65,Niedersachsen,87443
2006,0-65,Nordrhein-Westfalen,204039
2006,0-65,Rheinland-Pfalz,44890
2006,0-65,Saarland,11418
2006,0-65,Sachsen,54295
2006,0-65,Sachsen-Anhalt,28272
2006,0-65,Schleswig-Holstein,29122
2006,0-65,Thüringen,29515
2006,0-65,Baden-Württemberg,125634
2006,0-65,Bayern,146824
2006,0-65,Berlin,50758
2006,0-65,Brandenburg,28243
2006,0-65,Bremen,8536
2006,0-65,Hamburg,26795
2006,0-65,Hessen,71235
2006,0-65,Mecklenburg-Vorpommern,20666
2006,0-65,Niedersachsen,86730
2006,0-65,Nordrhein-Westfalen,202670
2006,0-65,Rheinland-Pfalz,44329
2006,0-65,Saarland,11108
2006,0-65,Sachsen,53862
2006,0-65,Sachsen-Anhalt,27982
2006,0-65,Schleswig-Holstein,29383
2006,0-65,Thüringen,27882
2006,0-65,Baden-Württemberg,125899
2006,0-65,Bayern,147043
2006,0-65,Berlin,50198
2006,0-65,Brandenburg,27232
2006,0-65,Bremen,8440
2006,0-65,Hamburg,26811
2006,0-65,Hessen,70948
2006,0-65,Mecklenburg-Vorpommern,19889
2006,0-65,Niedersachsen,86127
2006,0-65,Nordrhein-Westfalen,203790
2006,0-65,Rheinland-Pfalz,43684
2006,0-65,Saarland,11027
2006,0-65,Sachsen,52131
2006,0-65,Sachsen-Anhalt,26483
2006,0-65,Schleswig-Holstein,29366
2006,0-65,Thüringen,27142
2006,0-65,Baden-Württemberg,127617
2006,0-65,Bayern,147221
2006,0-65,Berlin,49110
2006,0-65,Brandenburg,24612
2006,0-65,Bremen,8506
2006,0-65,Hamburg,27593
2006,0-65,Hessen,72593
2006,0-65,Mecklenburg-Vorpommern,17081
2006,0-65,Niedersachsen,87215
2006,0-65,Nordrhein-Westfalen,205703
2006,0-65,Rheinland-Pfalz,43385
2006,0-65,Saarland,10674
2006,0-65,Sachsen,45806
2006,0-65,Sachsen-Anhalt,23532
2006,0-65,Schleswig-Holstein,29785
2006,0-65,Thüringen,24095
2006,0-65,Baden-Württemberg,125227
2006,0-65,Bayern,145372
2006,0-65,Berlin,47678
2006,0-65,Brandenburg,23496
2006,0-65,Bremen,8173
2006,0-65,Hamburg,27081
2006,0-65,Hessen,71511
2006,0-65,Mecklenburg-Vorpommern,16177
2006,0-65,Niedersachsen,85068
2006,0-65,Nordrhein-Westfalen,201255
2006,0-65,Rheinland-Pfalz,42390
2006,0-65,Saarland,10532
2006,0-65,Sachsen,43731
2006,0-65,Sachsen-Anhalt,22209
2006,0-65,Schleswig-Holstein,29465
2006,0-65,Thüringen,22731
2006,0-65,Baden-Württemberg,128513
2006,0-65,Bayern,149034
2006,0-65,Berlin,46525
2006,0-65,Brandenburg,23761
2006,0-65,Bremen,8193
2006,0-65,Hamburg,26523
2006,0-65,Hessen,72931
2006,0-65,Mecklenburg-Vorpommern,15639
2006,0-65,Niedersachsen,87764
2006,0-65,Nordrhein-Westfalen,204567
2006,0-65,Rheinland-Pfalz,43528
2006,0-65,Saarland,10709
2006,0-65,Sachsen,43170
2006,0-65,Sachsen-Anhalt,22438
2006,0-65,Schleswig-Holstein,30133
2006,0-65,Thüringen,23370
2006,0-65,Baden-Württemberg,129333
2006,0-65,Bayern,149900
2006,0-65,Berlin,45780
2006,0-65,Brandenburg,24274
2006,0-65,Bremen,8227
2006,0-65,Hamburg,25989
2006,0-65,Hessen,73982
2006,0-65,Mecklenburg-Vorpommern,16160
2006,0-65,Niedersachsen,90255
2006,0-65,Nordrhein-Westfalen,207721
2006,0-65,Rheinland-Pfalz,44503
2006,0-65,Saarland,10666
2006,0-65,Sachsen,43757
2006,0-65,Sachsen-Anhalt,23512
2006,0-65,Schleswig-Holstein,30942
2006,0-65,Thüringen,24095
2006,0-65,Baden-Württemberg,141669
2006,0-65,Bayern,164574
2006,0-65,Berlin,47808
2006,0-65,Brandenburg,27637
2006,0-65,Bremen,8793
2006,0-65,Hamburg,27610
2006,0-65,Hessen,80606
2006,0-65,Mecklenburg-Vorpommern,17668
2006,0-65,Niedersachsen,99879
2006,0-65,Nordrhein-Westfalen,228372
2006,0-65,Rheinland-Pfalz,49057
2006,0-65,Saarland,11812
2006,0-65,Sachsen,48069
2006,0-65,Sachsen-Anhalt,27052
2006,0-65,Schleswig-Holstein,34872
2006,0-65,Thüringen,27068
2006,0-65,Baden-Württemberg,153446
2006,0-65,Bayern,179147
2006,0-65,Berlin,52694
2006,0-65,Brandenburg,32795
2006,0-65,Bremen,9384
2006,0-65,Hamburg,29015
2006,0-65,Hessen,88433
2006,0-65,Mecklenburg-Vorpommern,20891
2006,0-65,Niedersachsen,110176
2006,0-65,Nordrhein-Westfalen,249766
2006,0-65,Rheinland-Pfalz,54109
2006,0-65,Saarland,13213
2006,0-65,Sachsen,56646
2006,0-65,Sachsen-Anhalt,32484
2006,0-65,Schleswig-Holstein,39646
2006,0-65,Thüringen,30795
2006,0-65,Baden-Württemberg,160575
2006,0-65,Bayern,188387
2006,0-65,Berlin,53868
2006,0-65,Brandenburg,34204
2006,0-65,Bremen,9708
2006,0-65,Hamburg,29482
2006,0-65,Hessen,92766
2006,0-65,Mecklenburg-Vorpommern,21646
2006,0-65,Niedersachsen,117104
2006,0-65,Nordrhein-Westfalen,264126
2006,0-65,Rheinland-Pfalz,57180
2006,0-65,Saarland,13578
2006,0-65,Sachsen,57348
2006,0-65,Sachsen-Anhalt,32979
2006,0-65,Schleswig-Holstein,42108
2006,0-65,Thüringen,31831
2006,0-65,Baden-Württemberg,172662
2006,0-65,Bayern,203823
2006,0-65,Berlin,56227
2006,0-65,Brandenburg,36004
2006,0-65,Bremen,10159
2006,0-65,Hamburg,30846
2006,0-65,Hessen,99397
2006,0-65,Mecklenburg-Vorpommern,22596
2006,0-65,Niedersachsen,127246
2006,0-65,Nordrhein-Westfalen,288610
2006,0-65,Rheinland-Pfalz,62376
2006,0-65,Saarland,15373
2006,0-65,Sachsen,57546
2006,0-65,Sachsen-Anhalt,34135
2006,0-65,Schleswig-Holstein,46975
2006,0-65,Thüringen,32452
2006,0-65,Baden-Württemberg,182197
2006,0-65,Bayern,212948
2006,0-65,Berlin,58732
2006,0-65,Brandenburg,38034
2006,0-65,Bremen,10888
2006,0-65,Hamburg,33081
2006,0-65,Hessen,104629
2006,0-65,Mecklenburg-Vorpommern,24102
2006,0-65,Niedersachsen,133564
2006,0-65,Nordrhein-Westfalen,301812
2006,0-65,Rheinland-Pfalz,65525
2006,0-65,Saarland,16224
2006,0-65,Sachsen,59124
2006,0-65,Sachsen-Anhalt,35262
2006,0-65,Schleswig-Holstein,50242
2006,0-65,Thüringen,32984
2006,0-65,Baden-Württemberg,186194
2006,0-65,Bayern,218369
2006,0-65,Berlin,59381
2006,0-65,Brandenburg,40920
2006,0-65,Bremen,10856
2006,0-65,Hamburg,33007
2006,0-65,Hessen,106079
2006,0-65,Mecklenburg-Vorpommern,25470
2006,0-65,Niedersachsen,137214
2006,0-65,Nordrhein-Westfalen,309101
2006,0-65,Rheinland-Pfalz,67267
2006,0-65,Saarland,16855
2006,0-65,Sachsen,61171
2006,0-65,Sachsen-Anhalt,36683
2006,0-65,Schleswig-Holstein,51673
2006,0-65,Thüringen,34006
2006,0-65,Baden-Württemberg,190885
2006,0-65,Bayern,221261
2006,0-65,Berlin,62426
2006,0-65,Brandenburg,44073
2006,0-65,Bremen,11156
2006,0-65,Hamburg,33253
2006,0-65,Hessen,109239
2006,0-65,Mecklenburg-Vorpommern,27521
2006,0-65,Niedersachsen,140233
2006,0-65,Nordrhein-Westfalen,315683
2006,0-65,Rheinland-Pfalz,69426
2006,0-65,Saarland,17372
2006,0-65,Sachsen,64762
2006,0-65,Sachsen-Anhalt,38620
2006,0-65,Schleswig-Holstein,51724
2006,0-65,Thüringen,36597
2006,0-65,Baden-Württemberg,190352
2006,0-65,Bayern,220651
2006,0-65,Berlin,64633
2006,0-65,Brandenburg,46468
2006,0-65,Bremen,11099
2006,0-65,Hamburg,32154
2006,0-65,Hessen,109568
2006,0-65,Mecklenburg-Vorpommern,29313
2006,0-65,Niedersachsen,139318
2006,0-65,Nordrhein-Westfalen,316233
2006,0-65,Rheinland-Pfalz,69884
2006,0-65,Saarland,17705
2006,0-65,Sachsen,67765
2006,0-65,Sachsen-Anhalt,40433
2006,0-65,Schleswig-Holstein,50683
2006,0-65,Thüringen,37875
2006,0-65,Baden-Württemberg,193305
2006,0-65,Bayern,223781
2006,0-65,Berlin,65712
2006,0-65,Brandenburg,48548
2006,0-65,Bremen,10856
2006,0-65,Hamburg,32559
2006,0-65,Hessen,110797
2006,0-65,Mecklenburg-Vorpommern,30867
2006,0-65,Niedersachsen,139659
2006,0-65,Nordrhein-Westfalen,320227
2006,0-65,Rheinland-Pfalz,71338
2006,0-65,Saarland,18187
2006,0-65,Sachsen,70579
2006,0-65,Sachsen-Anhalt,42333
2006,0-65,Schleswig-Holstein,50871
2006,0-65,Thüringen,39924
2006,0-65,Baden-Württemberg,190899
2006,0-65,Bayern,221458
2006,0-65,Berlin,65207
2006,0-65,Brandenburg,50511
2006,0-65,Bremen,10430
2006,0-65,Hamburg,31042
2006,0-65,Hessen,109647
2006,0-65,Mecklenburg-Vorpommern,32205
2006,0-65,Niedersachsen,138732
2006,0-65,Nordrhein-Westfalen,315523
